instructorId,instructorName,researchInterests
115,Craig Zilles,"Learning Analytics, Pedagogy, Computer-Based Testing, Assessment, Asynchronous Exams, Item Generation, Concept Inventories, Plagiarism Detection"
116,Michael Haberman,
117,Yi-Shuan Chen,
118,Marco Caccamo,
119,Shishir Nagaraja,
120,Samer Fanek,
121,R Campbell,
122,Paul Fischer,"High-Order Numerical Methods for Partial Differential Equations, Scalable Parallel Algorithms, Iterative Solvers, Parallel Computing, Spectral Element Methods, Computational Fluid Dynamics"
123,Ibrahim Karahan,
124,Robin Rutenbar,
125,William Chapman,
126,Michael Woodley,
127,Viraj Kumar,
128,Eyal Amir,
129,Madhusudan Parthasarathy,"Formal Methods, Software Verification, Model Checking, Decidable Logics "
130,Cinda Heeren,
131,Saeidreza Far,
132,Tarek Abdelzaher,"Networked Sensing, Intelligent Internet-of-Things (IoT) Applications, IoT and Big Data, Embedded (Cyber-physical) and Real-Time Systems, Machine Learning for CPS"
133,Adam Bates,"Systems and Networks, Auditing, Internet of Things Security, Security"
134,Julia Hockenmaier,"Natural Language Processing, Computational Linguistics "
135,Reza Farivar,
136,Brian Bailey,"Human-Computer Interfaces, Design Thinking, Creativity, Crowdsourcing, Teamwork"
137,Ruta Mehta,"Algorithmic Game Theory, Mathematical Economics, Efficient Algorithms"
138,Alex Kirlik,"Human-Computer Interaction, Human Factors, Cognitive Science and Engineering, Modeling and Supporting Human Judgment and Decision Making, Human-Automation Interaction"
139,Alexandra Kolla,
140,Steven Lauterburg,
141,Dennis Griffith,
142,Damion Mitchell,
143,John Toole,
144,Marsha Woodbury,
145,Sasa Misailovic,"Program Optimization Systems, Probabilisitic Programming, Approximate Computing Techniques, Program Optimization Systems, Probabilistic Programming, Approximate Computing Techniques, Approximate Computing across Full System Stack"
146,Michael Bailey,"Networks, Security and Availability of Complex Distributed Systems "
147,Pritam Sukumar,
148,Tao Xie,"Software Engineering, Software Testing, Program Analysis, Software Analytics , Mobile, Text Analytics, Testing, Program Analysis"
149,Guy Garnett,
150,Mariana Silva,"Teaching at Scale, Assessment, Collaborative Learning, Online Learning Platforms"
151,Leonard Pitt,
152,David Padua,"Compiler Techniques for Parallel Computing, Compiler Evaluation and Testing, Autotuning Strategies and Systems, Program Analysis, Transformation, and Optimization "
153,Rakesh Bobba,
154,Christopher Hsiao,
155,Vikram Adve,"Compilers, Parallel Computing, Heterogeneous Parallel Systems, Hardware-Software Codesign, Edge Computing, Programming Languages, Compilers, Parallel Programming, Domain-Specific Languages, Automated Debugging, Formal Verification, Software Repositories, Secure Compilation, Program Analysis, Software Security, Debloating"
156,Tandy Warnow,"Machine Learning in Computational Genomics, Graph Algorithms, Statistical Estimation, Heuristics for NP-Hard Optimization Problems, Phylogenomics, Metagenomics, Multiple Sequence Alignment, Historical Linguistics, Graph Algorithms, Statistical Estimation, Heuristics for NP-Hard Optimization Problems, Experimental Algorithmics, Applications to Grand Challenges in Biology and Historical Linguistics"
157,Alexander Schwing,"Machine Learning, Computer Vision"
158,Laxmikant Kale,"Large-Scale Parallel Systems; Runtime Systems, Tools, and Frameworks for High-Performance Computing, Simulation Software, Numerical Libraries and Algorithms "
159,Kyratso Karahalios,
160,Paris Smaragdis,"Machine Learning for Audio, Speech and Music; Signal Processing; Source Separation; Sound Recognition and Classification"
161,Samuel Kamin,
162,Elsa Gunter,"Scalable Education, Automated Interactive Assessment, Blended Learning, Formal Methods, Programming Languages, Software Engineering, Semantics, Interactive Theorem Proving, Model Checking, Type Systems, Program Verification, Compiler Correctness"
163,Lucas Cook,
164,Nan Jiang,"Reinforcement Learning, Machine Learning, Sample Complexity Analyses"
165,Luke Olson,"Parallel Numerical Algorithms, Performance Modeling, Numerical Analysis, Scientific Computing, Large-Scale Simulation, Multigrid and Iterative Methods, Finite Element Methods"
166,Timothy Weninger,
167,Indranil Gupta,"Distributed Systems, Cloud Computing, Internet-of-Things Distributed Systems, Distributed Machine Learning, Industry Production Systems"
168,Susan Hinrichs,
169,Neal Davis,"Incentivizing Productive Student Behaviors, Open Source Curricula, Assessment, Learning Analytics"
