Subject,Number,Course Title,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,courseDesc,averageGPA,studentCount
CS,105,Intro Computing: Non-Tech,"Fagen, Wade A",440,589,369,303,325,179,115,104,49,34,28,9,37,7,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.32,2588
CS,105,Intro Computing: Non-Tech,"Gambill, Thomas N",174,316,208,167,243,151,110,158,37,20,33,14,18,10,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.102,1659
CS,105,Intro Computing: Non-Tech,"Haberman, Michael",184,130,64,42,41,21,11,14,1,5,9,1,21,3,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.459,547
CS,105,Intro Computing: Non-Tech,"Harris, Albert F",423,575,424,151,239,94,51,71,34,1,48,4,30,10,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.445,2155
CS,105,Intro Computing: Non-Tech,"Hellwig, Martin",286,326,195,136,110,40,26,11,10,5,3,1,19,3,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.564,1171
CS,105,Intro Computing: Non-Tech,"Hsiao, Christopher R",3,20,11,10,6,4,5,6,6,4,0,0,1,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.07,76
CS,105,Intro Computing: Non-Tech,"Lauterburg, Steven T",30,86,66,53,88,45,40,47,17,5,18,3,14,4,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",2.947,516
CS,105,Intro Computing: Non-Tech,"Mitchell, Damion R",4,16,9,8,6,0,7,1,6,2,1,1,1,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.07,62
CS,105,Intro Computing: Non-Tech,"Saharan, Ankit",8,15,11,10,10,3,1,3,2,2,0,1,1,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.264,67
CS,105,Intro Computing: Non-Tech,"Ved, Ankeeth S",6,15,8,13,10,6,6,5,4,2,1,1,0,1,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.086,78
CS,105,Intro Computing: Non-Tech,"Yuttanan, Boonrod",1,2,5,3,5,1,7,4,4,1,0,0,1,1,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",2.657,35
CS,105,Intro Computing: Non-Tech,"Zhao, Kai",178,519,392,331,340,158,105,55,69,27,17,5,18,7,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.296,2221
CS,105,Intro Computing: Non-Tech,"Zutshi, Aditya",2,9,11,15,11,6,8,3,7,2,3,1,3,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",2.79,81
CS,125,Intro to Computer Science,"Angrave, Lawrence C",332,710,409,290,157,137,146,134,108,1,71,9,106,26,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. ,3.195,2636
CS,125,Intro to Computer Science,"Challen, Geoffrey W",254,781,132,97,97,51,28,26,18,0,41,0,51,12,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. ,3.53,1588
CS,125,Intro to Computer Science,"Chapman, William L",699,954,334,218,346,144,178,186,63,26,13,12,42,25,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. ,3.401,3240
CS,125,Intro to Computer Science,"Fogla, Navin",1,6,5,0,0,2,1,2,3,0,0,2,2,0,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. ,2.682,24
CS,125,Intro to Computer Science,"Nagaraja, Sharat",6,16,9,11,2,7,8,4,2,1,0,0,0,1,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. ,3.237,67
CS,125,Intro to Computer Science,"Somnath, Nisha",5,5,4,1,2,2,1,1,3,2,0,1,1,0,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. ,2.929,28
CS,125,Intro to Computer Science,"Zilles, Craig",28,131,35,35,68,20,14,27,11,0,13,11,13,3,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. ,3.113,409
CS,126,Software Design Studio,"Angrave, Lawrence C",36,47,58,47,20,20,10,6,6,3,0,1,7,0,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. ",3.313,261
CS,126,Software Design Studio,"Evans, Graham C",77,259,146,87,44,21,8,5,4,0,0,0,34,3,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. ",3.493,688
CS,126,Software Design Studio,"Zilles, Craig",26,46,18,13,19,4,7,5,3,0,1,0,3,2,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. ",3.43,147
CS,173,Discrete Structures,"Cook, Lucas T",7,5,4,7,2,3,2,5,6,4,3,0,1,2,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",2.714,51
CS,173,Discrete Structures,"Evans, Graham C",11,42,29,17,24,20,12,6,6,3,5,1,5,1,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",3.094,182
CS,173,Discrete Structures,"Fanek, Samer R",4,3,1,6,4,7,8,7,7,1,0,1,3,1,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",2.474,53
CS,173,Discrete Structures,"Fleck, Margaret M",360,1084,899,904,901,584,454,430,233,179,179,103,151,41,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",2.963,6502
CS,173,Discrete Structures,"Li, Chen",0,8,5,3,5,4,6,8,5,3,3,2,0,1,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",2.552,53
CS,173,Discrete Structures,"Meseguer, Jose",21,18,17,7,11,10,8,11,12,5,3,4,3,1,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",2.88,131
CS,173,Discrete Structures,"Parthasarathy, Madhusudan",1,13,5,7,13,3,5,2,5,3,2,0,0,0,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",2.96,59
CS,173,Discrete Structures,"Pittman, Lance C",4,0,11,7,6,12,8,4,1,2,2,1,0,1,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",2.817,59
CS,173,Discrete Structures,"Varodayan, David",11,30,33,18,25,14,21,17,6,3,4,5,5,0,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",2.926,192
CS,173,Discrete Structures,"Warnow, Tandy",45,38,13,20,22,13,11,7,4,4,4,4,4,0,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  ",3.203,189
CS,196,Freshman Honors,"Angrave, Lawrence C",74,189,43,10,2,0,0,1,1,0,0,0,12,3,Offered for honors credit in conjunction with other 100-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,3.773,335
CS,196,Freshman Honors,"Challen, Geoffrey W",19,187,70,29,14,5,4,6,2,0,0,1,3,1,Offered for honors credit in conjunction with other 100-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,3.7,341
CS,196,Freshman Honors,"Chapman, William L",172,373,68,33,23,10,5,9,0,0,0,0,4,5,Offered for honors credit in conjunction with other 100-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,3.823,702
CS,196,Freshman Honors,"Fleck, Margaret M",45,146,56,23,18,6,4,3,6,0,3,0,4,5,Offered for honors credit in conjunction with other 100-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,3.645,319
CS,196,Freshman Honors,"Gambill, Thomas N",0,47,0,0,0,0,0,0,0,0,0,0,1,1,Offered for honors credit in conjunction with other 100-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,3.917,49
CS,196,Freshman Honors,"Kumar, Viraj",6,2,1,5,0,2,3,2,1,0,4,0,1,1,Offered for honors credit in conjunction with other 100-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,2.753,28
CS,199,De-Bug your Brain,"Angrave, Lawrence C",0,22,1,0,0,0,0,0,0,0,0,0,1,1,May be repeated.,3.82,25
CS,199,Elements of Game Design,"Angrave, Lawrence C",18,4,0,1,0,0,0,0,0,0,0,0,0,0,May be repeated.,3.971,23
CS,199,Elements of Game Design,"Shaffer, Eric G",20,33,2,0,3,0,0,2,0,0,1,0,4,1,May be repeated.,3.59,66
CS,199,Python for Data,"Davis, Neal E",18,3,4,1,1,0,0,0,0,0,0,0,1,0,May be repeated.,3.75,28
CS,199,Real World Cases Scient Comput,"Silva, Mariana T",14,33,1,2,1,1,0,0,0,0,0,0,1,0,May be repeated.,3.849,53
CS,199,Undergraduate Open Seminar,"Angrave, Lawrence C",0,144,0,0,7,0,0,7,0,0,4,0,7,1,May be repeated.,3.639,170
CS,199,Undergraduate Open Seminar,"Heeren, Cinda",3,78,13,3,7,1,0,7,0,0,1,0,1,0,May be repeated.,3.687,114
CS,199,Undergraduate Open Seminar,"Yershova, Ganna",0,18,0,0,8,0,0,0,0,0,0,0,0,0,May be repeated.,3.692,26
CS,199,Undergraduate Open Seminar,"Zilles, Craig",0,25,3,0,0,0,0,1,0,0,0,0,0,0,May be repeated.,3.897,29
CS,210,Ethical & Professional Issues,"Cunningham, Ryan M",142,858,173,110,168,29,23,37,5,1,9,0,18,3,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. ",3.642,1576
CS,210,Ethical & Professional Issues,"Kirlik, Alex",17,145,38,72,52,4,5,14,2,2,6,7,1,2,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. ",3.425,367
CS,210,Ethical & Professional Issues,"Loui, Michael C",0,54,38,8,3,1,4,4,1,0,1,0,0,0,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. ",3.629,114
CS,210,Ethical & Professional Issues,"Miller, Keith W",0,46,1,0,31,1,0,8,0,0,2,0,0,0,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. ",3.386,89
CS,210,Ethical & Professional Issues,"Woodbury, Marsha C",76,133,31,18,14,5,0,5,0,0,3,0,2,1,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. ",3.756,288
CS,225,Data Structures,"Earls, John C",1,12,3,4,16,2,2,9,0,0,5,0,0,0,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. ",2.914,54
CS,225,Data Structures,"Fagen-Ulmschnei, Wade A",279,807,136,123,144,88,71,88,44,37,45,56,90,15,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. ",3.22,2023
CS,225,Data Structures,"Heeren, Cinda",162,2036,772,451,860,315,272,490,96,14,380,0,282,53,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. ",3.054,6183
CS,225,Data Structures,"Karahan, Ibrahim",0,10,1,2,9,1,2,12,0,0,5,0,9,0,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. ",2.229,51
CS,225,Data Structures,"Kassa, Debessay F",0,5,0,2,7,1,0,6,0,0,0,0,4,0,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. ",2.493,25
CS,225,Data Structures,"Singh, Varun K",0,5,2,1,2,1,1,5,0,0,5,0,1,0,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. ",2.464,23
CS,225,Data Structures,"Toole, John D",1,12,6,4,8,2,3,4,5,0,3,0,7,1,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. ",2.6,56
CS,225,Data Structures,"Yershova, Ganna",0,17,14,5,10,6,1,6,0,0,5,0,7,1,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. ",2.836,72
CS,225,Data Structures,"Zilles, Craig",23,232,34,29,25,15,12,12,11,13,10,5,37,8,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. ",3.182,466
CS,231,Computer Architecture I,"Garzaran, Maria J",14,73,13,14,70,10,9,73,6,0,33,0,9,2,"Introduction to computer architecture, working up from the logic gate level: combinational and sequential networks; computer arithmetic; arithmetic/logic units; memory organization; control unit design. Credit is not given for both CS 231 and ECE 290. ",2.744,326
CS,231,Computer Architecture I,"Kale, Laxmikant V",12,55,12,19,78,23,18,44,15,5,14,1,17,0,"Introduction to computer architecture, working up from the logic gate level: combinational and sequential networks; computer arithmetic; arithmetic/logic units; memory organization; control unit design. Credit is not given for both CS 231 and ECE 290. ",2.706,313
CS,232,Computer Architecture II,"Aggarwal, Arushi",7,8,3,1,6,1,1,0,1,0,0,0,0,0,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) ",3.536,28
CS,232,Computer Architecture II,"Cunningham, Ryan M",8,6,3,4,13,2,2,0,0,1,0,0,0,0,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) ",3.35,39
CS,232,Computer Architecture II,"Guzman Rivera, Abner",4,7,3,3,13,4,2,1,2,0,0,0,1,0,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) ",3.117,40
CS,232,Computer Architecture II,"Kumar, Viraj",19,64,45,36,68,18,11,14,4,1,0,1,0,5,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) ",3.315,286
CS,232,Computer Architecture II,"Sukumar, Pritam P",8,7,2,3,12,0,3,3,0,0,1,0,0,0,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) ",3.265,39
CS,232,Computer Architecture II,"Zilles, Craig",8,27,7,8,37,4,8,19,3,0,8,0,3,1,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) ",2.907,133
CS,233,Computer Architecture,"Herman, Geoffrey L",39,604,41,48,256,23,19,132,12,2,71,4,79,11,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. ",3.095,1341
CS,233,Computer Architecture,"Zilles, Craig",52,395,66,58,351,39,36,177,20,11,78,18,76,9,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. ",2.873,1386
CS,241,System Programming,"Angrave, Lawrence C",271,264,213,248,223,170,146,110,96,94,70,58,131,16,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. ",2.782,2110
CS,241,System Programming,"Caccamo, Marco",23,58,39,52,68,31,22,47,37,6,34,5,41,5,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. ",2.547,468
CS,241,System Programming,"Evans, Graham C",43,55,52,47,27,57,43,40,27,30,25,23,20,4,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. ",2.614,493
CS,241,System Programming,"Fagen, Wade A",5,27,21,15,33,18,19,13,10,0,18,0,19,1,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. ",2.561,199
CS,241,System Programming,"Kravets, Robin H",13,105,27,24,91,27,17,69,26,19,48,18,58,9,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. ",2.403,551
CS,242,Programming Studio,"Woodley, Michael J",256,887,654,423,232,128,103,83,24,31,24,9,43,15,Intensive programming lab intended to strengthen skills in programming. ,3.43,2912
CS,296,Honors Course,"Angrave, Lawrence C",21,75,13,9,1,0,0,0,0,0,0,0,4,0,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,3.778,123
CS,296,Honors Course,"Fagen-Ulmschnei, Wade A",57,221,12,8,4,2,0,12,0,0,0,0,7,5,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,3.79,328
CS,296,Honors Course,"Heeren, Cinda",61,306,39,24,22,10,1,11,0,0,0,0,13,4,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,3.713,491
CS,296,Honors Course,"Zilles, Craig",18,74,17,10,31,6,2,10,3,1,4,0,6,2,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. ,3.339,184
CS,357,Numerical Methods I,"Gambill, Thomas N",14,28,25,31,28,5,15,10,4,2,5,0,1,0,"Fundamentals of numerical methods for students in science and engineering; floating-point computation, systems of linear equations, approximation of functions and integrals, the single nonlinear equation, and the numerical solution of ordinary differential equations; various applications in science and engineering; programming exercises and use of high quality mathematical library routines. ",3.152,168
CS,357,Numerical Methods I,"Gropp, William D",2,56,25,14,20,12,2,5,3,0,1,2,4,0,"Fundamentals of numerical methods for students in science and engineering; floating-point computation, systems of linear equations, approximation of functions and integrals, the single nonlinear equation, and the numerical solution of ordinary differential equations; various applications in science and engineering; programming exercises and use of high quality mathematical library routines. ",3.318,146
CS,357,Numerical Methods I,"Heath, Michael T",9,16,21,14,33,18,18,24,10,4,8,3,6,1,"Fundamentals of numerical methods for students in science and engineering; floating-point computation, systems of linear equations, approximation of functions and integrals, the single nonlinear equation, and the numerical solution of ordinary differential equations; various applications in science and engineering; programming exercises and use of high quality mathematical library routines. ",2.678,185
